GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
26133,Michigan,Osceola County,23341,36023,344,14.738,7,0.2999
39093,Ohio,Lorain County,309461,46147,4560,14.7353,15,0.0485
05033,Arkansas,Crawford County,63406,32952,933,14.7147,9,0.1419
26035,Michigan,Clare County,30757,34120,452,14.6958,11,0.3576
22069,Louisiana,Natchitoches Parish,38659,39860,568,14.6926,18,0.4656
34007,New Jersey,Camden County,507078,54103,7450,14.692,40,0.0789
39013,Ohio,Belmont County,67505,42429,991,14.6804,2,0.0296
39127,Ohio,Perry County,36033,37187,527,14.6255,2,0.0555
20045,Kansas,Douglas County,121436,43642,1776,14.625,6,0.0494
35023,New Mexico,Hidalgo County,4240,41555,62,14.6226,2,0.4717
21157,Kentucky,Marshall County,31191,41625,456,14.6196,6,0.1924
21183,Kentucky,Ohio County,24087,33262,352,14.6137,7,0.2906
42073,Pennsylvania,Lawrence County,86184,43929,1259,14.6083,33,0.3829
47085,Tennessee,Humphreys County,18486,38665,270,14.6056,4,0.2164
39153,Ohio,Summit County,541918,51036,7909,14.5945,77,0.1421
18025,Indiana,Crawford County,10558,33483,154,14.5861,0,0.0
18117,Indiana,Orange County,19489,38124,284,14.5723,3,0.1539
39081,Ohio,Jefferson County,65767,39311,958,14.5666,11,0.1673
26091,Michigan,Lenawee County,98266,39600,1431,14.5625,3,0.0305
21141,Kentucky,Logan County,26989,36005,393,14.5615,4,0.1482
21059,Kentucky,Daviess County,101104,41754,1472,14.5593,15,0.1484
20121,Kansas,Miami County,33680,48748,490,14.5487,0,0.0
21185,Kentucky,Oldham County,66470,63039,967,14.5479,7,0.1053
05127,Arkansas,Scott County,10319,31401,150,14.5363,2,0.1938
29015,Missouri,Benton County,19278,35973,280,14.5243,1,0.0519
21125,Kentucky,Laurel County,60669,33921,881,14.5214,3,0.0494
22065,Louisiana,Madison Parish,11161,32437,162,14.5148,4,0.3584
21053,Kentucky,Clinton County,10206,31308,148,14.5013,1,0.098
21211,Kentucky,Shelby County,48518,45392,702,14.4689,3,0.0618
21127,Kentucky,Lawrence County,15571,31654,225,14.4499,1,0.0642
05019,Arkansas,Clark County,22061,36314,318,14.4146,6,0.272
21087,Kentucky,Green County,11049,34570,159,14.3904,2,0.181
40079,Oklahoma,Le Flore County,49980,32677,719,14.3858,2,0.04
28031,Mississippi,Covington County,18853,35748,271,14.3744,10,0.5304
05115,Arkansas,Pope County,64000,35261,919,14.3594,6,0.0938
28065,Mississippi,Jefferson Davis County,11234,30097,161,14.3315,4,0.3561
42019,Pennsylvania,Butler County,187888,58927,2692,14.3277,47,0.2501
26095,Michigan,Luce County,6283,31827,90,14.3244,0,0.0
29145,Missouri,Newton County,58266,39334,834,14.3137,16,0.2746
21227,Kentucky,Warren County,131264,38045,1877,14.2994,15,0.1143
21131,Kentucky,Leslie County,10143,32724,145,14.2956,0,0.0
29129,Missouri,Mercer County,3641,32388,52,14.2818,1,0.2746
