State,GeoFIPS,County,population,total_cases
Wisconsin,55047,Green Lake County,18918,1524
Wyoming,56029,Park County,29324,1521
North Carolina,37123,Montgomery County,27271,1521
Florida,12007,Bradford County,27732,1518
Louisiana,22111,Union Parish,22330,1512
Nevada,32023,Nye County,45346,1511
Louisiana,22011,Beauregard Parish,37253,1511
Iowa,19059,Dickinson County,17153,1509
North Dakota,38099,Walsh County,10667,1507
Iowa,19055,Delaware County,17069,1506
Mississippi,28079,Leake County,22763,1502
Georgia,13029,Bryan County,38109,1502
Ohio,39079,Jackson County,32384,1501
Washington,53041,Lewis County,79604,1501
Tennessee,47109,McNairy County,25832,1501
Oklahoma,40009,Beckham County,21709,1498
Ohio,39015,Brown County,43602,1497
Utah,49039,Sanpete County,30623,1493
Nebraska,31155,Saunders County,21303,1489
Minnesota,27161,Waseca County,18691,1489
Louisiana,22083,Richland Parish,20192,1485
Indiana,18055,Greene County,32006,1484
South Carolina,45027,Clarendon County,33700,1477
Missouri,29119,McDonald County,23078,1474
Oregon,41053,Polk County,85234,1470
New York,36009,Cattaraugus County,76840,1470
Ohio,39071,Highland County,43058,1466
Texas,48185,Grimes County,28360,1462
Mississippi,28031,Covington County,18853,1459
South Dakota,46027,Clay County,14041,1458
Louisiana,22121,West Baton Rouge Parish,26427,1457
North Carolina,37087,Haywood County,61971,1455
South Carolina,45067,Marion County,31039,1455
North Carolina,37017,Bladen County,33190,1450
Georgia,13087,Decatur County,26575,1450
Texas,48493,Wilson County,50224,1448
Texas,48219,Hockley County,22980,1447
Texas,48285,Lavaca County,20110,1447
Michigan,26109,Menominee County,22983,1444
North Carolina,37059,Davie County,42733,1442
Wisconsin,55023,Crawford County,16291,1441
Wisconsin,55049,Iowa County,23771,1440
Texas,48203,Harrison County,66726,1440
New York,36117,Wayne County,90064,1437
Missouri,29143,New Madrid County,17296,1431
Montana,30041,Hill County,16347,1429
Idaho,16013,Blaine County,22601,1429
Washington,53001,Adams County,19759,1429
Georgia,13311,White County,29970,1428
Alabama,1079,Lawrence County,32957,1427
Florida,12067,Lafayette County,8732,1426
Mississippi,28039,George County,24250,1421
Minnesota,27135,Roseau County,15150,1419
Mississippi,28139,Tippah County,21995,1417
Texas,48489,Willacy County,21515,1416
Virginia,51001,Accomack County,32412,1416
Louisiana,22031,De Soto Parish,27436,1415
Florida,12079,Madison County,18529,1414
Kentucky,21071,Floyd County,35845,1414
Texas,48179,Gray County,21895,1413
Mississippi,28051,Holmes County,17622,1411
Wisconsin,55125,Vilas County,21938,1408
South Dakota,46009,Bon Homme County,6980,1408
Michigan,26107,Mecosta County,43545,1407
Washington,53047,Okanogan County,42132,1405
Michigan,26127,Oceana County,26625,1402
Colorado,8085,Montrose County,42214,1401
Mississippi,28159,Winston County,18165,1401
Kentucky,21013,Bell County,26569,1400
New York,36109,Tompkins County,102793,1398
Iowa,19141,O'Brien County,13840,1396
Iowa,19123,Mahaska County,22000,1389
Texas,48321,Matagorda County,36552,1388
Mississippi,28045,Hancock County,47334,1388
Nebraska,31177,Washington County,20667,1384
Rhode Island,44005,Newport County,82542,1380
Texas,48467,Van Zandt County,56019,1375
Arkansas,5071,Johnson County,26742,1373
Nebraska,31037,Colfax County,10881,1371
Tennessee,47041,DeKalb County,20138,1370
Rhode Island,44001,Bristol County,48649,1369
Pennsylvania,42031,Clarion County,38779,1366
Kentucky,21121,Knox County,31304,1364
Iowa,19197,Wright County,12690,1362
Georgia,13187,Lumpkin County,32955,1362
Oklahoma,40133,Seminole County,24578,1361
Oklahoma,40001,Adair County,22082,1357
Colorado,8025,Crowley County,5858,1356
Indiana,18153,Sullivan County,20690,1356
Louisiana,22075,Plaquemines Parish,23410,1355
Ohio,39059,Guernsey County,39022,1354
Minnesota,27091,Martin County,19785,1354
Ohio,39021,Champaign County,38754,1352
Missouri,29175,Randolph County,24763,1352
Alabama,1091,Marengo County,19066,1351
Maryland,24039,Somerset County,25675,1351
New York,36037,Genesee County,57511,1349
Kentucky,21141,Logan County,26989,1346
South Dakota,46127,Union County,15619,1345
Tennessee,47049,Fentress County,18217,1345
Missouri,29219,Warren County,34711,1342
Ohio,39065,Hardin County,31480,1341
Tennessee,47081,Hickman County,25063,1341
Indiana,18075,Jay County,20764,1341
Illinois,17181,Union County,16841,1341
Alabama,1061,Geneva County,26314,1340
Florida,12125,Union County,14940,1339
North Carolina,37169,Stokes County,45467,1338
Washington,53037,Kittitas County,47364,1336
Illinois,17135,Montgomery County,28601,1334
Missouri,29135,Moniteau County,16121,1331
Texas,48177,Gonzales County,20826,1330
Alabama,1107,Pickens County,19938,1330
Iowa,19041,Clay County,16134,1329
Texas,48473,Waller County,53126,1328
Nebraska,31025,Cass County,26159,1326
Missouri,29209,Stone County,31749,1326
Mississippi,28153,Wayne County,20298,1325
Florida,12059,Holmes County,19477,1325
California,6109,Tuolumne County,54539,1321
Texas,48401,Rusk County,54450,1319
Mississippi,28091,Marion County,24715,1319
Missouri,29055,Crawford County,23957,1317
Indiana,18079,Jennings County,27611,1317
Kansas,20125,Montgomery County,32120,1316
Pennsylvania,42121,Venango County,51266,1315
Nevada,32005,Douglas County,48467,1312
Mississippi,28007,Attala County,18365,1312
Georgia,13107,Emanuel County,22612,1312
Alabama,1007,Bibb County,22400,1311
Texas,48097,Cooke County,40574,1310
Texas,48123,DeWitt County,20187,1309
Ohio,39069,Henry County,27086,1308
Georgia,13123,Gilmer County,30816,1302
Washington,53027,Grays Harbor County,73901,1299
Wisconsin,55123,Vernon County,30785,1295
Missouri,29007,Audrain County,25473,1295
Illinois,17101,Lawrence County,15765,1294
South Carolina,45037,Edgefield County,27052,1292
Illinois,17145,Perry County,21174,1291
Tennessee,47115,Marion County,28575,1290
Tennessee,47151,Scott County,22039,1290
Montana,30085,Roosevelt County,11059,1289
Iowa,19019,Buchanan County,21199,1289
North Dakota,38077,Richland County,16239,1287
Iowa,19109,Kossuth County,14908,1286
North Carolina,37079,Greene County,21012,1284
Kansas,20021,Cherokee County,20015,1281
New York,36107,Tioga County,48560,1280
Virginia,51185,Tazewell County,40855,1278
Ohio,39161,Van Wert County,28281,1277
Arkansas,5075,Lawrence County,16434,1277
Kentucky,21021,Boyle County,30100,1277
Tennessee,47007,Bledsoe County,14755,1275
Texas,48115,Dawson County,12619,1274
Arkansas,5017,Chicot County,10438,1273
West Virginia,54019,Fayette County,43018,1272
Kansas,20059,Franklin County,25631,1270
Iowa,19083,Hardin County,16868,1269
Pennsylvania,42117,Tioga County,40763,1269
Texas,48217,Hill County,36354,1268
Arkansas,5077,Lee County,8985,1268
Ohio,39117,Morrow County,35112,1266
Georgia,13119,Franklin County,23023,1265
Georgia,13001,Appling County,18507,1263
Idaho,16017,Bonner County,44727,1262
Missouri,29053,Cooper County,17603,1259
Alabama,1013,Butler County,19680,1258
New York,36023,Cortland County,47823,1258
Ohio,39127,Perry County,36033,1256
New York,36053,Madison County,70795,1256
Indiana,18149,Starke County,22935,1255
North Dakota,38071,Ramsey County,11481,1254
Texas,48463,Uvalde County,26846,1253
Illinois,17165,Saline County,23906,1253
Minnesota,27057,Hubbard County,21332,1250
Pennsylvania,42109,Snyder County,40540,1248
Texas,48273,Kleberg County,31129,1247
Kentucky,21155,Marion County,19404,1247
Tennessee,47033,Crockett County,14328,1245
Iowa,19079,Hamilton County,14952,1244
Tennessee,47095,Lake County,7411,1244
Illinois,17033,Crawford County,18807,1244
New York,36003,Allegany County,46430,1242
New York,36011,Cayuga County,77145,1242
Texas,48363,Palo Pinto County,28875,1238
Wyoming,56041,Uinta County,20299,1237
Maryland,24035,Queen Anne's County,50251,1236
Alabama,1005,Barbour County,24881,1231
Georgia,13085,Dawson County,25083,1231
Wisconsin,55001,Adams County,20348,1230
Missouri,29001,Adair County,25339,1229
Kansas,20121,Miami County,33680,1229
Illinois,17005,Bond County,16630,1228
Minnesota,27157,Wabasha County,21645,1227
South Carolina,45087,Union County,27410,1226
Ohio,39047,Fayette County,28666,1224
Florida,12045,Gulf County,16164,1223
Arkansas,5027,Columbia County,23537,1222
Iowa,19145,Page County,15249,1221
Mississippi,28141,Tishomingo County,19454,1221
West Virginia,54099,Wayne County,39944,1220
Texas,48163,Frio County,19816,1220
Louisiana,22049,Jackson Parish,15902,1218
Illinois,17187,Warren County,17032,1218
Wisconsin,55077,Marquette County,15434,1212
Kansas,20061,Geary County,32594,1211
Iowa,19043,Clayton County,17556,1210
Kentucky,21183,Ohio County,24087,1208
Wisconsin,55065,Lafayette County,16665,1206
Mississippi,28101,Newton County,21443,1204
Missouri,29141,Morgan County,20358,1202
Virginia,51173,Smyth County,30472,1201
Montana,30035,Glacier County,13747,1200
Georgia,13055,Chattooga County,24790,1200
Kentucky,21193,Perry County,26092,1200
Oregon,41035,Klamath County,67653,1199
Missouri,29083,Henry County,21792,1199
North Carolina,37139,Pasquotank County,39639,1194
Iowa,19031,Cedar County,18627,1193
Kansas,20131,Nemaha County,10155,1193
Pennsylvania,42065,Jefferson County,43641,1188
Tennessee,47057,Grainger County,23145,1187
Mississippi,28017,Chickasaw County,17171,1187
Kentucky,21217,Taylor County,25549,1187
Illinois,17015,Carroll County,14312,1184
Illinois,17085,Jo Daviess County,21366,1183
Missouri,29186,Ste. Genevieve County,17888,1180
Iowa,19085,Harrison County,14134,1173
Indiana,18045,Fountain County,16351,1173
Kentucky,21051,Clay County,20105,1172
Montana,30047,Lake County,30250,1171
Georgia,13195,Madison County,29650,1168
Utah,49037,San Juan County,15449,1167
Illinois,17017,Cass County,12260,1166
Iowa,19067,Floyd County,15761,1164
Missouri,29155,Pemiscot County,16272,1164
New York,36089,St. Lawrence County,108047,1162
West Virginia,54045,Logan County,32607,1160
Georgia,13219,Oconee County,39272,1153
Georgia,13291,Union County,24001,1151
Texas,48279,Lamb County,13158,1146
Texas,48147,Fannin County,35286,1142
Iowa,19065,Fayette County,19660,1141
Michigan,26151,Sanilac County,41182,1141
Minnesota,27127,Redwood County,15249,1140
Indiana,18049,Fulton County,20092,1138
California,6023,Humboldt County,136373,1137
Louisiana,22065,Madison Parish,11161,1136
Texas,48003,Andrews County,18128,1135
Iowa,19129,Mills County,15063,1134
South Carolina,45039,Fairfield County,22402,1134
Idaho,16045,Gem County,17634,1133
Alabama,1019,Cherokee County,26032,1130
Iowa,19191,Winneshiek County,20029,1130
Ohio,39031,Coshocton County,36629,1129
Maine,23019,Penobscot County,151096,1129
North Carolina,37145,Person County,39507,1127
Nebraska,31185,York County,13772,1127
North Dakota,38003,Barnes County,10542,1127
Kentucky,21049,Clark County,36249,1125
Kansas,20137,Norton County,5430,1125
South Carolina,45053,Jasper County,28971,1124
Georgia,13227,Pickens County,31980,1124
Arkansas,5121,Randolph County,17948,1121
Kentucky,21157,Marshall County,31191,1121
Illinois,17149,Pike County,15611,1121
Iowa,19025,Calhoun County,9699,1120
Iowa,19023,Butler County,14539,1119
Ohio,39053,Gallia County,29979,1118
Florida,12047,Hamilton County,14310,1118
Tennessee,47023,Chester County,17276,1117
New York,36021,Columbia County,59916,1117
New Mexico,35041,Roosevelt County,18743,1115
Michigan,26047,Emmet County,33308,1115
Iowa,19119,Lyon County,11811,1113
Virginia,51093,Isle of Wight County,36953,1111
Indiana,18147,Spencer County,20327,1107
Oklahoma,40107,Okfuskee County,12098,1106
Minnesota,27129,Renville County,14612,1106
Louisiana,22007,Assumption Parish,22300,1106
Oregon,41019,Douglas County,110283,1105
West Virginia,54049,Marion County,56097,1104
Pennsylvania,42093,Montour County,18240,1103
South Dakota,46041,Dewey County,5904,1102
Louisiana,22029,Concordia Parish,19572,1101
North Dakota,38061,Mountrail County,10218,1100
Kentucky,21173,Montgomery County,28203,1100
Alabama,1111,Randolph County,22725,1098
North Carolina,37011,Avery County,17505,1096
Texas,48373,Polk County,50031,1096
Louisiana,22093,St. James Parish,21037,1095
Arkansas,5083,Logan County,21737,1092
Maryland,24019,Dorchester County,31998,1091
California,6033,Lake County,64382,1090
Washington,53045,Mason County,65507,1089
Texas,48265,Kerr County,52405,1087
Georgia,13261,Sumter County,29733,1086
Maryland,24011,Caroline County,33304,1086
Oklahoma,40035,Craig County,14306,1085
California,6021,Glenn County,28047,1085
Indiana,18175,Washington County,27943,1083
Michigan,26063,Huron County,31166,1082
Tennessee,47025,Claiborne County,31756,1076
Georgia,13111,Fannin County,25964,1074
Georgia,13267,Tattnall County,25391,1073
Illinois,17067,Hancock County,17844,1071
Louisiana,22127,Winn Parish,14134,1069
North Carolina,37091,Hertford County,23659,1067
South Carolina,45011,Barnwell County,21112,1067
Iowa,19157,Poweshiek County,18699,1065
Maine,23011,Kennebec County,122083,1065
Alabama,1057,Fayette County,16433,1064
Ohio,39131,Pike County,28067,1063
Texas,48057,Calhoun County,21561,1063
West Virginia,54059,Mingo County,23785,1062
Georgia,13033,Burke County,22423,1062
Missouri,29215,Texas County,25571,1060
Alabama,1065,Hale County,14726,1058
Virginia,51117,Mecklenburg County,30650,1057
North Dakota,38055,McLean County,9541,1057
Kentucky,21095,Harlan County,26409,1056
Arkansas,5021,Clay County,14847,1055
Texas,48445,Terry County,12287,1054
Virginia,51105,Lee County,23541,1051
Minnesota,27023,Chippewa County,11924,1051
Minnesota,27033,Cottonwood County,11277,1051
Kentucky,21099,Hart County,18906,1051
Florida,12029,Dixie County,16700,1048
Texas,48165,Gaines County,20901,1046
Arkansas,5001,Arkansas County,17769,1046
Kentucky,21085,Grayson County,26321,1046
Kansas,20099,Labette County,19964,1046
Arkansas,5065,Izard County,13593,1045
Colorado,8089,Otero County,18432,1044
Oklahoma,40073,Kingfisher County,15816,1043
Idaho,16047,Gooding County,15196,1043
Missouri,29163,Pike County,18504,1042
Virginia,51029,Buckingham County,16999,1040
Indiana,18123,Perry County,19102,1040
Illinois,17191,Wayne County,16332,1038
Mississippi,28135,Tallahatchie County,13987,1036
West Virginia,54029,Hancock County,29094,1035
Texas,48503,Young County,18045,1035
North Carolina,37007,Anson County,24877,1033
Iowa,19095,Iowa County,16141,1033
Tennessee,47171,Unicoi County,17761,1033
South Carolina,45001,Abbeville County,24541,1032
Illinois,17139,Moultrie County,14717,1031
South Dakota,46121,Todd County,10283,1029
Texas,48255,Karnes County,15650,1029
Georgia,13303,Washington County,20386,1029
Iowa,19035,Cherokee County,11321,1027
Missouri,29151,Osage County,13714,1026
Florida,12013,Calhoun County,14587,1026
Maryland,24023,Garrett County,29163,1024
Nevada,32001,Churchill County,24440,1023
Utah,49041,Sevier County,21539,1022
Arkansas,5107,Phillips County,18029,1022
Idaho,16039,Elmore County,27259,1021
Ohio,39175,Wyandot County,21935,1016
Georgia,13145,Harris County,34475,1016
Oregon,41031,Jefferson County,24192,1014
North Carolina,37039,Cherokee County,28383,1014
Texas,48477,Washington County,35108,1014
Mississippi,28025,Clay County,19386,1014
Missouri,29049,Clinton County,20470,1014
Arkansas,5043,Drew County,18328,1014
Illinois,17025,Clay County,13253,1013
New Hampshire,33001,Belknap County,61022,1007
Georgia,13225,Peach County,27297,1007
Georgia,13017,Ben Hill County,16787,1005
Wisconsin,55107,Rusk County,14147,1003
North Carolina,37113,Macon County,35285,1002
Tennessee,47039,Decatur County,11706,1000
Mississippi,28023,Clarke County,15604,999
Louisiana,22043,Grant Parish,22482,998
Michigan,26033,Chippewa County,37517,997
Arizona,4012,La Paz County,21098,996
Indiana,18047,Franklin County,22736,996
Pennsylvania,42035,Clinton County,38684,994
Texas,48499,Wood County,45129,994
California,6005,Amador County,39383,993
Minnesota,27039,Dodge County,20822,993
Georgia,13163,Jefferson County,15430,993
Indiana,18015,Carroll County,20127,993
Wisconsin,55113,Sawyer County,16489,991
Texas,48075,Childress County,7291,991
Ohio,39001,Adams County,27724,989
Pennsylvania,42103,Pike County,55933,989
Illinois,17045,Edgar County,17360,989
Iowa,19189,Winnebago County,10518,988
Missouri,29123,Madison County,12188,987
Louisiana,22059,LaSalle Parish,14917,987
Georgia,13105,Elbert County,19120,986
Missouri,29133,Mississippi County,13336,984
North Carolina,37015,Bertie County,19026,983
Georgia,13143,Haralson County,29533,982
Kentucky,21129,Lee County,7033,980
Virginia,51187,Warren County,40003,978
Alabama,1129,Washington County,16378,978
Kentucky,21239,Woodford County,26533,978
South Dakota,46023,Charles Mix County,9338,976
Alabama,1027,Clay County,13275,975
Arkansas,5003,Ashley County,20046,975
Kansas,20191,Sumner County,22996,973
Virginia,51167,Russell County,26748,971
Georgia,13207,Monroe County,27520,971
Georgia,13293,Upson County,26215,971
Arkansas,5037,Cross County,16676,971
Georgia,13035,Butts County,24193,970
Iowa,19081,Hancock County,10712,969
Kansas,20005,Atchison County,16193,969
Arkansas,5103,Ouachita County,23606,966
Indiana,18119,Owen County,20845,965
Michigan,26051,Gladwin County,25337,964
Indiana,18117,Orange County,19489,964
Wisconsin,55103,Richland County,17377,960
Arkansas,5057,Hempstead County,21741,960
Minnesota,27165,Watonwan County,10980,955
Florida,12041,Gilchrist County,18256,954
Arkansas,5019,Clark County,22061,953
Iowa,19005,Allamakee County,13832,952
Illinois,17061,Greene County,13044,951
Georgia,13237,Putnam County,21809,950
Kentucky,21137,Lincoln County,24644,950
Nebraska,31159,Seward County,17318,949
Illinois,17159,Richland County,15763,948
Arkansas,5113,Polk County,20049,947
Mississippi,28061,Jasper County,16428,946
Georgia,13131,Grady County,24748,945
Minnesota,27159,Wadena County,13773,943
Alabama,1067,Henry County,17209,943
Iowa,19161,Sac County,9719,942
Iowa,19037,Chickasaw County,11964,941
New York,36043,Herkimer County,61833,941
Wisconsin,55013,Burnett County,15392,940
Oklahoma,40091,McIntosh County,19815,940
Kentucky,21205,Rowan County,24583,940
Ohio,39073,Hocking County,28385,939
New Mexico,35055,Taos County,32835,938
Virginia,51009,Amherst County,31666,938
Indiana,18121,Parke County,16927,938
Oregon,41003,Benton County,92101,937
North Carolina,37117,Martin County,22671,935
Pennsylvania,42059,Greene County,36506,934
Georgia,13205,Mitchell County,22192,933
Tennessee,47005,Benton County,16184,932
North Dakota,38053,McKenzie County,13632,932
Utah,49047,Uintah County,35438,931
Iowa,19115,Louisa County,11169,927
North Dakota,38057,Mercer County,8267,927
Florida,12037,Franklin County,11736,927
Indiana,18165,Vermillion County,15479,927
Oklahoma,40005,Atoka County,13838,925
South Carolina,45061,Lee County,17142,924
Michigan,26035,Clare County,30757,924
New York,36051,Livingston County,63227,923
South Dakota,46079,Lake County,13057,918
Texas,48223,Hopkins County,36810,918
Michigan,26069,Iosco County,25081,916
Kentucky,21115,Johnson County,22386,915
Virginia,51169,Scott County,21534,914
Virginia,51147,Prince Edward County,22950,913
Missouri,29003,Andrew County,17607,911
Missouri,29015,Benton County,19278,911
North Carolina,37009,Ashe County,27109,910
Iowa,19075,Grundy County,12304,909
Montana,30087,Rosebud County,9063,907
Utah,49007,Carbon County,20269,904
Maryland,24041,Talbot County,36968,904
Virginia,51155,Pulaski County,34066,903
Minnesota,27133,Rock County,9414,902
North Carolina,37033,Caswell County,22698,899
South Carolina,45049,Hampton County,19351,898
Texas,48371,Pecos County,15673,897
Louisiana,22013,Bienville Parish,13308,896
Iowa,19175,Union County,12359,895
Virginia,51023,Botetourt County,33277,895
Mississippi,28131,Stone County,18717,895
Michigan,26007,Alpena County,28360,893
Illinois,17053,Ford County,13264,893
Michigan,26053,Gogebic County,15096,892
Ohio,39125,Paulding County,18760,891
Wisconsin,55011,Buffalo County,13125,889
Arkansas,5047,Franklin County,17810,889
Illinois,17023,Clark County,15596,889
Tennessee,47015,Cannon County,14462,888
Minnesota,27143,Sibley County,15028,888
Kentucky,21043,Carter County,27004,888
Florida,12065,Jefferson County,14288,886
North Carolina,37131,Northampton County,19676,885
California,6011,Colusa County,21627,885
Colorado,8029,Delta County,30953,885
Texas,48353,Nolan County,14751,884
Virginia,51083,Halifax County,34120,884
Minnesota,27055,Houston County,18578,883
Arkansas,5061,Howard County,13341,883
New Mexico,35027,Lincoln County,19556,881
Tennessee,47129,Morgan County,21579,881
Michigan,26137,Otsego County,24665,878
Missouri,29017,Bollinger County,12169,878
Alabama,1099,Monroe County,21067,878
Kentucky,21213,Simpson County,18529,878
Texas,48313,Madison County,14422,877
Pennsylvania,42099,Perry County,46139,877
Kentucky,21081,Grant County,25121,877
West Virginia,54109,Wyoming County,20786,876
Georgia,13177,Lee County,29764,876
Iowa,19029,Cass County,12930,876
Colorado,8083,Montezuma County,26158,875
Tennessee,47101,Lewis County,12086,875
Louisiana,22035,East Carroll Parish,7037,873
Wisconsin,55129,Washburn County,15878,872
West Virginia,54077,Preston County,33839,871
Iowa,19131,Mitchell County,10569,871
Wisconsin,55099,Price County,13397,870
Oklahoma,40095,Marshall County,16806,870
North Carolina,37185,Warren County,19807,870
Georgia,13161,Jeff Davis County,15029,869
Texas,48239,Jackson County,14874,868
Illinois,17131,Mercer County,15601,867
Tennessee,47061,Grundy County,13346,865
Virginia,51197,Wythe County,28754,865
Minnesota,27001,Aitkin County,15902,865
Kansas,20133,Neosho County,15951,864
Oregon,41061,Union County,26461,863
Illinois,17147,Piatt County,16396,863
Wyoming,56015,Goshen County,13376,862
Illinois,17189,Washington County,13995,862
Pennsylvania,42083,McKean County,40968,859
Mississippi,28013,Calhoun County,14436,859
Georgia,13011,Banks County,18988,857
Texas,48337,Montague County,19596,853
Kentucky,21001,Adair County,19215,853
Kentucky,21167,Mercer County,21774,852
South Dakota,46125,Turner County,8424,851
California,6093,Siskiyou County,43724,851
Idaho,16049,Idaho County,16513,850
Texas,48293,Limestone County,23519,850
Iowa,19007,Appanoose County,12437,849
Kansas,20013,Brown County,9598,848
Nebraska,31131,Otoe County,15985,847
Montana,30053,Lincoln County,19794,846
West Virginia,54009,Brooke County,22203,845
Kansas,20067,Grant County,7336,845
Missouri,29117,Livingston County,15146,844
Georgia,13189,McDuffie County,21531,844
South Carolina,45081,Saluda County,20544,843
Missouri,29229,Wright County,18378,843
Alabama,1085,Lowndes County,9974,843
Mississippi,28097,Montgomery County,10023,842
Texas,48145,Falls County,17335,841
Kansas,20087,Jefferson County,18975,841
Iowa,19063,Emmet County,9253,839
North Dakota,38005,Benson County,6962,838
Montana,30017,Custer County,11586,838
Kansas,20041,Dickinson County,18717,838
Massachusetts,25011,Franklin County,70963,838
Iowa,19091,Humboldt County,9547,836
Wisconsin,55003,Ashland County,15600,835
Washington,53065,Stevens County,45260,835
Pennsylvania,42067,Juniata County,24704,835
Minnesota,27045,Fillmore County,21058,835
Tennessee,47085,Humphreys County,18486,834
Georgia,13147,Hart County,26099,833
Iowa,19165,Shelby County,11578,832
Mississippi,28147,Walthall County,14465,831
Arkansas,5023,Cleburne County,24965,831
Georgia,13075,Cook County,17162,831
New York,36045,Jefferson County,111755,828
Alaska,2110,Juneau,32113,826
Kentucky,21003,Allen County,21122,825
Idaho,16087,Washington County,10161,823
Kentucky,21163,Meade County,28715,822
Arkansas,5029,Conway County,20891,821
Texas,48487,Wilbarger County,12820,820
Tennessee,47173,Union County,19688,820
Florida,12043,Glades County,13724,818
Indiana,18159,Tipton County,15128,818
Iowa,19077,Guthrie County,10720,816
Louisiana,22125,West Feliciana Parish,15460,816
Illinois,17125,Mason County,13565,814
Mississippi,28015,Carroll County,9911,813
Wisconsin,55041,Forest County,8991,812
New York,36039,Greene County,47491,810
Illinois,17087,Johnson County,12456,810
South Carolina,45009,Bamberg County,14275,809
Missouri,29177,Ray County,22883,809
West Virginia,54083,Randolph County,28823,808
Indiana,18139,Rush County,16663,806
Minnesota,27117,Pipestone County,9047,804
Kansas,20053,Ellsworth County,6196,804
Kansas,20145,Pawnee County,6562,804
Iowa,19101,Jefferson County,18381,803
South Dakota,46109,Roberts County,10447,800
Mississippi,28129,Smith County,16002,800
Minnesota,27113,Pennington County,14178,800
Alabama,1087,Macon County,18439,800
Arkansas,5135,Sharp County,17366,800
West Virginia,54035,Jackson County,28706,798
Colorado,8107,Routt County,25733,798
Louisiana,22027,Claiborne Parish,15944,798
Georgia,13169,Jones County,28616,797
Wyoming,56007,Carbon County,14971,796
Idaho,16043,Fremont County,13168,795
Kansas,20193,Thomas County,7711,795
Texas,48067,Cass County,30119,794
Vermont,50023,Washington County,58140,792
Mississippi,28161,Yalobusha County,12392,791
Iowa,19069,Franklin County,10124,790
Wisconsin,55007,Bayfield County,15042,787
Virginia,51135,Nottoway County,15420,785
Kentucky,21171,Monroe County,10718,785
Kentucky,21225,Union County,14505,785
Michigan,26165,Wexford County,33466,784
Kansas,20085,Jackson County,13280,784
Iowa,19121,Madison County,16249,782
North Dakota,38097,Traill County,8037,782
Oklahoma,40099,Murray County,13953,781
Nebraska,31179,Wayne County,9403,781
Mississippi,28077,Lawrence County,12455,781
Michigan,26029,Charlevoix County,26244,779
Michigan,26143,Roscommon County,23884,779
Alabama,1029,Cleburne County,14987,777
Idaho,16073,Owyhee County,11693,777
Texas,48369,Parmer County,9864,776
Minnesota,27065,Kanabec County,16207,776
Montana,30023,Deer Lodge County,9131,776
Texas,48171,Gillespie County,26804,774
Missouri,29217,Vernon County,20528,774
Oklahoma,40023,Choctaw County,14668,773
Alabama,1075,Lamar County,13844,772
Ohio,39121,Noble County,14354,771
Idaho,16041,Franklin County,13726,771
South Dakota,46019,Butte County,10222,771
Colorado,8099,Prowers County,12164,771
Indiana,18009,Blackford County,11930,771
Florida,12077,Liberty County,8457,770
Mississippi,28103,Noxubee County,10535,768
Tennessee,47139,Polk County,16898,767
Georgia,13229,Pierce County,19389,767
Tennessee,47087,Jackson County,11758,766
New York,36077,Otsego County,59749,761
Washington,53003,Asotin County,22610,761
Arkansas,5087,Madison County,16481,761
Alabama,1041,Crenshaw County,13824,759
Indiana,18111,Newton County,14011,758
Michigan,26071,Iron County,11117,757
Montana,30027,Fergus County,11113,756
Minnesota,27173,Yellow Medicine County,9795,755
Georgia,13081,Crisp County,22601,755
Texas,48389,Reeves County,15695,754
New York,36017,Chenango County,47536,754
Kansas,20149,Pottawatomie County,24277,754
Alabama,1035,Conecuh County,12277,753
Colorado,8015,Chaffee County,20027,753
Nebraska,31145,Red Willow County,10726,753
Georgia,13091,Dodge County,20705,751
Colorado,8039,Elbert County,26282,747
Louisiana,22123,West Carroll Parish,10982,747
Texas,48233,Hutchinson County,21198,746
New Hampshire,33005,Cheshire County,76493,742
Illinois,17079,Jasper County,9611,742
Colorado,8119,Teller County,25083,741
Missouri,29121,Macon County,15153,738
Illinois,17185,Wabash County,11549,738
Montana,30021,Dawson County,8680,737
West Virginia,54005,Boone County,21951,736
Kentucky,21033,Caldwell County,12715,736
Montana,30067,Park County,16736,735
Michigan,26105,Mason County,29100,734
Virginia,51033,Caroline County,30772,733
Kentucky,21079,Garrard County,17560,732
Illinois,17035,Cumberland County,10808,732
North Carolina,37055,Dare County,36501,731
Texas,48089,Colorado County,21217,731
New York,36073,Orleans County,40612,730
Washington,53029,Island County,84460,729
Texas,48043,Brewster County,9267,729
Georgia,13049,Charlton County,12968,729
Montana,30083,Richland County,10913,728
South Dakota,46051,Grant County,7147,728
Illinois,17193,White County,13665,728
Montana,30077,Powell County,6968,727
New York,36121,Wyoming County,40085,723
Colorado,8003,Alamosa County,16683,722
Kentucky,21215,Spencer County,18794,722
Pennsylvania,42115,Susquehanna County,40589,721
Pennsylvania,42127,Wayne County,51276,721
Texas,48051,Burleson County,18389,721
Oregon,41041,Lincoln County,49388,720
Pennsylvania,42047,Elk County,30169,720
Wyoming,56023,Lincoln County,19434,719
Alabama,1011,Bullock County,10138,717
Mississippi,28041,Greene County,13586,717
Mississippi,28111,Perry County,11931,715
Louisiana,22021,Caldwell Parish,9960,714
Illinois,17127,Massac County,14080,713
Ohio,39019,Carroll County,27081,712
New Hampshire,33009,Grafton County,89786,711
Alabama,1105,Perry County,9140,711
Oregon,41049,Morrow County,11372,710
