State,GeoFIPS,County,population,total_cases
Virginia,51810,Virginia Beach,450189,12142
Indiana,18163,Vanderburgh County,180974,12060
Colorado,8069,Larimer County,350518,12053
Montana,30111,Yellowstone County,160137,12046
California,6095,Solano County,446610,11950
Alabama,1117,Shelby County,215707,11947
Illinois,17019,Champaign County,209983,11928
Pennsylvania,42079,Luzerne County,317646,11747
Pennsylvania,42129,Westmoreland County,350611,11667
Florida,12111,St. Lucie County,321128,11617
South Carolina,45091,York County,274118,11604
Iowa,19013,Black Hawk County,132408,11547
Louisiana,22103,St. Tammany Parish,258111,11502
Delaware,10005,Sussex County,229286,11499
Florida,12069,Lake County,356495,11468
Wisconsin,55059,Kenosha County,169290,11463
North Carolina,37071,Gaston County,222846,11453
Indiana,18157,Tippecanoe County,193048,11447
New Hampshire,33011,Hillsborough County,415247,11408
Michigan,26161,Washtenaw County,370963,11396
Tennessee,47165,Sumner County,187149,11380
Wisconsin,55073,Marathon County,135428,11366
Illinois,17167,Sangamon County,195348,11305
Missouri,29019,Boone County,180005,11287
Ohio,39165,Warren County,232173,11240
Mississippi,28033,DeSoto County,182001,11203
Louisiana,22019,Calcasieu Parish,203112,11183
Texas,48245,Jefferson County,255001,11171
Utah,49053,Washington County,171700,11141
Georgia,13051,Chatham County,289195,11117
Iowa,19193,Woodbury County,102539,11076
Mississippi,28049,Hinds County,237085,11046
Louisiana,22073,Ouachita Parish,154475,11008
Virginia,51107,Loudoun County,406850,11005
Pennsylvania,42095,Northampton County,304807,11000
Wisconsin,55131,Washington County,135693,10947
Wisconsin,55105,Rock County,163129,10715
Ohio,39099,Mahoning County,229642,10636
Georgia,13063,Clayton County,289615,10620
Oregon,41047,Marion County,346868,10598
New Jersey,34015,Gloucester County,291408,10575
Illinois,17143,Peoria County,180621,10506
Michigan,26077,Kalamazoo County,264870,10491
Minnesota,27137,St. Louis County,199754,10474
