GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased_per_1000
47097,Tennessee,Lauderdale County,25825,29187,2185,84.6079,0.8906
46103,South Dakota,Pennington County,111729,51369,9447,84.5528,0.8055
01085,Alabama,Lowndes County,9974,38991,843,84.5198,3.0078
55101,Wisconsin,Racine County,196584,49749,16601,84.4474,1.0225
46061,South Dakota,Hanson County,3376,66614,285,84.4194,0.8886
56001,Wyoming,Albany County,38601,40444,3256,84.3501,0.2332
35005,New Mexico,Chaves County,64689,40322,5449,84.2338,0.7729
16083,Idaho,Twin Falls County,86081,39623,7247,84.1881,1.1733
05149,Arkansas,Yell County,21535,33320,1812,84.1421,1.6253
06031,California,Kings County,151366,35306,12721,84.0413,0.6276
12063,Florida,Jackson County,48305,32106,4059,84.0286,2.0702
46067,South Dakota,Hutchinson County,7380,53179,620,84.0108,1.7615
28097,Mississippi,Montgomery County,10023,34180,842,84.0068,2.6938
55073,Wisconsin,Marathon County,135428,50111,11366,83.9265,1.0264
31079,Nebraska,Hall County,61607,43625,5158,83.7243,1.3797
55079,Wisconsin,Milwaukee County,948201,47589,79300,83.6321,0.83
28099,Mississippi,Neshoba County,29125,36604,2434,83.5708,4.2918
19017,Iowa,Bremer County,24947,49405,2084,83.5371,0.5612
47137,Tennessee,Pickett County,5082,39686,423,83.2349,3.1484
19079,Iowa,Hamilton County,14952,53071,1244,83.1996,1.0032
55017,Wisconsin,Chippewa County,64135,46162,5328,83.0748,0.8888
31179,Nebraska,Wayne County,9403,44622,781,83.0586,0.5317
19115,Iowa,Louisa County,11169,41038,927,82.9976,1.9697
41045,Oregon,Malheur County,30725,30992,2550,82.9943,1.4646
19085,Iowa,Harrison County,14134,44895,1173,82.9914,2.264
30071,Montana,Phillips County,4074,39172,338,82.9651,1.9637
20171,Kansas,Scott County,4897,69254,406,82.9079,1.4294
31023,Nebraska,Butler County,8058,47286,668,82.899,0.8687
20181,Kansas,Sherman County,5899,45156,489,82.8954,1.1866
04001,Arizona,Apache County,71818,34355,5952,82.8762,2.7848
38049,North Dakota,McHenry County,5816,52233,482,82.8748,2.923
55087,Wisconsin,Outagamie County,187365,51230,15504,82.7476,0.7419
29143,Missouri,New Madrid County,17296,33869,1431,82.7359,1.4454
17015,Illinois,Carroll County,14312,42399,1184,82.7278,1.8865
29135,Missouri,Moniteau County,16121,37533,1331,82.5631,0.9305
47141,Tennessee,Putnam County,78843,39509,6502,82.4677,1.0781
19131,Iowa,Mitchell County,10569,63318,871,82.4108,0.9462
19041,Iowa,Clay County,16134,51876,1329,82.3726,0.3719
18041,Indiana,Fayette County,23047,40939,1898,82.3535,1.8224
39107,Ohio,Mercer County,40959,51562,3365,82.1553,1.6114
39129,Ohio,Pickaway County,58086,41131,4769,82.1024,0.8608
27153,Minnesota,Todd County,24582,42005,2018,82.0926,0.6102
17101,Illinois,Lawrence County,15765,29911,1294,82.0806,0.6977
28015,Mississippi,Carroll County,9911,37615,813,82.0301,1.5135
04017,Arizona,Navajo County,110445,32165,9056,81.9956,2.5171
31185,Nebraska,York County,13772,49892,1127,81.8327,0.3631
29187,Missouri,St. Francois County,66692,34485,5453,81.7639,0.7647
40065,Oklahoma,Jackson County,24949,38527,2038,81.6866,1.4029
47111,Tennessee,Macon County,24265,33297,1981,81.6402,1.2776
18099,Indiana,Marshall County,46248,41329,3774,81.6035,1.2109
38001,North Dakota,Adams County,2294,59197,187,81.517,0.0
31099,Nebraska,Kearney County,6544,56309,533,81.4487,0.3056
20083,Kansas,Hodgeman County,1818,49176,148,81.4081,2.2002
46039,South Dakota,Deuel County,4337,51766,353,81.3927,0.6917
12123,Florida,Taylor County,21623,30346,1753,81.0711,1.0174
20119,Kansas,Meade County,4146,64262,336,81.042,0.9648
16087,Idaho,Washington County,10161,36225,823,80.996,1.181
29123,Missouri,Madison County,12188,36865,987,80.9813,0.8205
30005,Montana,Blaine County,6807,31263,551,80.9461,2.7912
05069,Arkansas,Jefferson County,68114,35356,5512,80.9232,1.6883
13313,Georgia,Whitfield County,104062,38752,8410,80.8172,0.9129
30105,Montana,Valley County,7437,46911,601,80.8122,0.9412
55051,Wisconsin,Iron County,5676,51471,458,80.6906,1.938
55131,Wisconsin,Washington County,135693,58601,10947,80.6748,0.5896
38103,North Dakota,Wells County,3957,55328,319,80.6166,0.7582
17157,Illinois,Randolph County,32106,36905,2588,80.608,0.8721
19097,Iowa,Jackson County,19432,45167,1566,80.5887,0.8748
55047,Wisconsin,Green Lake County,18918,46152,1524,80.5582,0.4229
48341,Texas,Moore County,21485,41275,1728,80.4282,1.6756
46117,South Dakota,Stanley County,3022,73776,243,80.4103,0.6618
31157,Nebraska,Scotts Bluff County,35989,44171,2893,80.3857,0.9447
31173,Nebraska,Thurston County,7303,41468,586,80.241,0.9585
55035,Wisconsin,Eau Claire County,104534,48240,8380,80.1653,0.6027
19145,Iowa,Page County,15249,41629,1221,80.0708,0.3279
28051,Mississippi,Holmes County,17622,28371,1411,80.0704,3.4616
17007,Illinois,Boone County,53577,47437,4287,80.0157,0.7093
55069,Wisconsin,Lincoln County,27689,45766,2207,79.7067,1.264
19057,Iowa,Des Moines County,39138,50515,3118,79.6668,0.5877
27161,Minnesota,Waseca County,18691,44556,1489,79.664,0.5885
17181,Illinois,Union County,16841,42760,1341,79.6271,1.6626
31123,Nebraska,Morrill County,4686,49071,373,79.5988,1.067
19147,Iowa,Palo Alto County,8929,53056,710,79.5162,0.56
31055,Nebraska,Douglas County,566880,63435,45054,79.4771,0.7056
27101,Minnesota,Murray County,8276,54825,657,79.3862,0.6042
27041,Minnesota,Douglas County,37964,53665,3013,79.3647,1.159
40039,Oklahoma,Custer County,29036,41652,2304,79.3498,0.6199
17001,Illinois,Adams County,65691,46886,5209,79.2955,0.7764
38077,North Dakota,Richland County,16239,53007,1287,79.2536,0.739
39137,Ohio,Putnam County,33780,50059,2674,79.1593,1.6874
40093,Oklahoma,Major County,7644,43762,605,79.147,0.5233
47027,Tennessee,Clay County,7717,31013,610,79.0463,2.4621
27097,Minnesota,Morrison County,33169,42568,2621,79.0196,1.0251
20163,Kansas,Rooks County,5013,42363,396,78.9946,1.5959
12037,Florida,Franklin County,11736,35988,927,78.9877,0.3408
56039,Wyoming,Teton County,23081,251728,1822,78.9394,0.0867
20203,Kansas,Wichita County,2105,70142,166,78.8599,0.9501
31019,Nebraska,Buffalo County,49615,54052,3909,78.7867,0.8667
28133,Mississippi,Sunflower County,25735,30859,2027,78.7643,2.176
48369,Texas,Parmer County,9864,44981,776,78.6699,2.7372
48043,Texas,Brewster County,9267,45652,729,78.6662,0.6475
19037,Iowa,Chickasaw County,11964,58354,941,78.6526,0.5015
17041,Illinois,Douglas County,19479,51537,1531,78.5975,0.8214
20029,Kansas,Cloud County,8729,38144,686,78.5886,0.1146
55137,Wisconsin,Waushara County,24263,41204,1906,78.5558,0.4946
55077,Wisconsin,Marquette County,15434,41182,1212,78.5279,1.0367
19179,Iowa,Wapello County,35205,39002,2764,78.5116,2.0452
01071,Alabama,Jackson County,51736,36567,4052,78.3207,0.4446
48479,Texas,Webb County,275910,31635,21587,78.2393,1.5186
12121,Florida,Suwannee County,44191,33068,3457,78.2286,1.9687
55057,Wisconsin,Juneau County,26617,37898,2082,78.2207,0.263
28125,Mississippi,Sharkey County,4377,32070,342,78.1357,3.8839
12047,Florida,Hamilton County,14310,26016,1118,78.1272,0.8386
47159,Tennessee,Smith County,19942,37742,1557,78.0764,1.0029
19069,Iowa,Franklin County,10124,51971,790,78.0324,2.0743
46105,South Dakota,Perkins County,2922,42195,228,78.0287,0.6845
19173,Iowa,Taylor County,6191,41585,483,78.0165,0.4846
55043,Wisconsin,Grant County,51554,43310,4018,77.9377,1.319
01105,Alabama,Perry County,9140,30535,711,77.7899,0.7659
46021,South Dakota,Campbell County,1377,50232,107,77.7052,0.7262
05075,Arkansas,Lawrence County,16434,35126,1277,77.7048,1.9472
05055,Arkansas,Greene County,45325,34895,3521,77.6834,0.7501
55063,Wisconsin,La Crosse County,118230,50107,9177,77.6199,0.3552
27167,Minnesota,Wilkin County,6254,59516,485,77.5504,0.7995
19045,Iowa,Clinton County,46518,44244,3603,77.4539,0.9889
28031,Mississippi,Covington County,18853,35748,1459,77.3882,2.7051
28151,Mississippi,Washington County,45063,37568,3486,77.3584,2.3966
55133,Wisconsin,Waukesha County,403072,72650,31179,77.3534,0.6178
28083,Mississippi,Leflore County,28919,36399,2235,77.2848,3.2505
17079,Illinois,Jasper County,9611,45961,742,77.2032,1.2486
49035,Utah,Salt Lake County,1152633,52639,88921,77.146,0.3826
28159,Mississippi,Winston County,18165,35742,1401,77.1263,1.6515
27173,Minnesota,Yellow Medicine County,9795,57186,755,77.0801,1.3272
46037,South Dakota,Day County,5505,47352,424,77.0209,1.9982
29201,Missouri,Scott County,38458,40221,2962,77.0191,1.1181
20187,Kansas,Stanton County,1987,63897,153,77.0005,1.0065
19023,Iowa,Butler County,14539,49863,1119,76.9654,0.8254
48471,Texas,Walker County,72480,28016,5574,76.904,0.9934
05065,Arkansas,Izard County,13593,30608,1045,76.8778,0.515
16035,Idaho,Clearwater County,8758,34506,673,76.844,0.0
40015,Oklahoma,Caddo County,28977,35239,2226,76.8195,1.1733
20025,Kansas,Clark County,2005,62654,154,76.808,2.4938
49051,Utah,Wasatch County,33240,53285,2553,76.8051,0.3911
16027,Idaho,Canyon County,223499,32680,17135,76.667,0.7025
22049,Louisiana,Jackson Parish,15902,34116,1218,76.5941,2.0752
